Title,Framework,Hook Score,Why
"how to change your life: 10 daily habits for 2022 *watch this if you’re feeling stuck*","","+530","Desire – Many people would love to change their lives, and for those who do, most want to do so really bad. List – People like clicking on list videos. Daily tips – We’ve got more daily tips here, and daily habits are attractive because we can just plug them into our routine and not worry about when or how often to do them. Timeliness – “In 2022” lets the audience know that this is what’s working right now."
"How to Write Off 100% of Your Car as a Business [STEP-BY-STEP] | Vehicle Tax Deduction | Sec. 179","","+571","Too good to be true – This sounds too good to be true, which makes it more interesting and exciting."
"This Paint Trick Will Make CHEAP WHITE PAINT Cover + Hide As Well As The Most Expensive Brands!","","+938","Benefit – This video is about a benefit for the audience and it promises a lot for a little, which makes it more exciting. Curiosity – This title opens a loop by mentioning there’s a trick, but not telling you what the trick is."
"Affordable Cities: 10 US Metro Areas With Underrated Livability, Walkability and Transit","","+464","Curiosity – The word “underrated” makes this title more fun and interesting, and “absurdly undervalued” in the thumbnail reiterates that. Desire – Many people would love to move to a more affordable city, or one with better livability, walkability and transit. Timeliness – With a recession looming and housing prices sky high, everybody has the word “affordable” on their mind right now. List – People like clicking on list videos."
"How I Would Learn To Code (If I Could Start Over)","","+892","Beginner tips – People love “if I could start over” stories. It meets your audience where they’re at. It’s mostly for beginners, and beginners are the biggest and hungriest subset of any audience."
"5 Dog Training Exercises You Should Do EVERY DAY At Home!","","+950","List – People love clicking on list videos. Daily tips – People love things they can do every day because they’re easy to just plug into your routine."
"TOP 8 Dividend ETFs For Passive Income in 2022 (High Yield)","","+1425","List – Another list video here! Desire – Almost everyone in the world loves passive income. Timeliness – “In 2022” lets you know these dividend ETFs can give you passive income right now."
"3 Habits That Will Make You A Beast In Matches","","+734","List – People love clicking on lists. Desire – This audience would love to become a beast in matches."
"9 DECORATING MISTAKES THAT COULD MAKE YOU DEPRESSED OR ANXIOUS","","+909","List – We’ve got another list here. Negativity – There are several aspects of negativity here. This video is about mistakes, and the result is you being depressed or anxious. The thumbnail reinforces the negativity by calling your home depressing."
"Swim without getting tired","","+1074","Benefit – Swimmers (this creator’s audience) would love to swim without getting tired. Refute an objection – This video refutes the “I can’t swim too long because I get too tired,” objection, so you’ve gotta watch and see how to do it. Great thumbnail – This thumbnail shows a clear contrast and progression to helping the audience achieve their goal that the title promises."
"The Intelligent Investor’s Road to $1,000,000","","+1138","Desire – Making $1,000,000 is a huge goal for this channel’s audience. Beginner tips – The thumbnail text tells you this is for beginners because it says “An investor’s first $1,000,000.”"
"How Did MINAS ITHIL Become MINAS MORGUL? | Middle-Earth Lore","","+538","Curiosity – This title is a question, which evokes curiosity. Negativity – Minas Morgul is an evil city, and people love hearing about villains. Story – This video talks about changing from a good city to a bad city, so there’s a story behind it."
"Neuroscientist: “Never Feel Tired During The Day” | Andrew Huberman","","+833","Authority – Authority works because we know and trust authority figures. This title uses authority two ways: it uses his position (neuroscientist) and his name (Andrew Huberman). Negativity – The quote is about moving away from pain — never feeling tired — instead of moving toward pleasure, i.e. feeling energized. Desire – I, and I feel like I’m speaking for everybody reading this, would love to never feel tired during the day."
